name,mass,radius,texture,timestamp,x,y,z,vx,vy,vz
Sun,1.988435e30,6.957e8,planettextures/8k_sun.jpg,2019-Mar-16 00:00,-1.351343105506232E-03,7.549817138203992E-03,-4.200718115315673E-05,-8.222950279730839E-06,1.252598675779703E-06,2.140020605610505E-07
Earth,5.9721986e24,6371008,planettextures/8k_earth_daymap.jpg,2019-Mar-16 00:00,-9.918696803493554E-01,9.679454643549934E-02,-4.277240997129137E-05,-1.825836604899280E-03,-1.719621912926312E-02,3.421794164900239E-07
Mars,6.41693e23,3.3895e6,planettextures/8k_mars.jpg,2019-Mar-16 00:00,2.341284054032922E-01,1.537313782783677E+00,2.623394307816976E-02,-1.331027418143195E-02,3.319493802125395E-03,3.961351541925593E-04
Saturn,5.68319e26,5.8232e7,planettextures/8k_saturn.jpg,2019-Mar-16 00:00,2.339322153829731E+00,-9.772708872601363E+00,7.680334653568568E-02,5.118676949779789E-03,1.281165462656659E-03,-2.260252915431195E-04
Jupiter,1.89813e27,6.9911e7,planettextures/8k_jupiter.jpg,2019-Mar-16 00:00,-1.619415486257015E+00,-5.067980606649805E+00,5.724354397991326E-02,7.097138681149106E-03,-1.936475571366308E-03,-1.507099292363792E-04
Titan,1.3452e23,2.575e6,planettextures/Titan_Texture.jpg,2019-Mar-16 00:00,2.340010336367727E+00,-9.765469982604248E+00,7.300390210773734E-02,1.947323954493107E-03,1.729638118992622E-03,-1.417867687071718E-04
Moon (Earth),7.3459e22,1737400,planettextures/8k_moon.jpg,2019-Mar-16 00:00,-9.925049166886970E-01,9.918509436677272E-02,-8.010681483649929E-05,-2.405917515675348E-03,-1.738222264145029E-02,5.435687055501891E-05
Venus,4.86732e24,6051900,planettextures/8k_venus_surface.jpg,2019-Mar-16 00:00,-1.383181281012813E-01,-7.056946426448258E-01,-1.924575817341541E-03,1.971949690543742E-02,-3.893886642858350E-03,-1.191672210373534E-03
Uranus,8.74e25,25400000,planettextures/2k_uranus.jpg,2019-Mar-16 00:00,1.686122918517077E+01,1.048519972832015E+01,-1.794971555938231E-01,-2.105923280626834E-03,3.156671880896649E-03,3.897845750517207E-05
Neptune,1.03e26,25100000,planettextures/2k_neptune.jpg,2019-Mar-16 00:00,2.903727567809729E+01,-7.254680675189824E+00,-5.197966015254928E-01,7.401770541856926E-04,3.064604444258778E-03,-7.987369437451936E-05
Mercury,3.33e23,2432000,planettextures/8k_mercury.jpg,2019-Mar-16 00:00,-3.838799860976324E-01,2.253240741168856E-02,3.627448983563775E-02,-6.960980460203594E-03,-2.690279565683518E-02,-1.560381820832720E-03